age_grp,time,Speed,HR,VO2,VCO2,RR,VE
"(10, 20]",868.5923913043479,16.08858695652174,188.7173913043478,3070.788888888889,3513.661111111111,53.891304347826086,105.53097826086955
"(20, 30]",880.321875,16.22625,182.3949843260188,3200.446540880503,3771.0597484276727,52.090625,113.9884375
"(30, 40]",901.7239819004525,15.948416289592759,178.0,3206.1336405529955,3911.9124423963135,49.62443438914027,116.7054298642534
"(40, 50]",888.9724770642201,15.593577981651377,170.954128440367,3123.1296296296296,3708.074074074074,46.908256880733944,112.92752293577982
"(50, 60]",901.7,14.939999999999998,170.7,3010.5,3567.45,44.25,108.27500000000002
"(60, 70]",705.3333333333334,12.766666666666666,177.0,2692.3333333333335,3305.3333333333335,41.0,103.76666666666667
