time,Speed,HR,VO2,VCO2,RR,VE,age_grp
738.1463414634146,14.068292682926831,188.9512195121951,2341.5641025641025,2788.2051282051284,51.390243902439025,85.69756097560975,"(10, 20]"
717.6851851851852,13.82962962962963,179.05555555555554,2298.5849056603774,2676.603773584906,49.75925925925926,86.42592592592592,"(20, 30]"
729.32,13.812000000000001,174.2,2098.7083333333335,2398.2083333333335,45.96,76.59200000000001,"(30, 40]"
805.8,13.940000000000001,172.0,2201.6,2532.3,48.8,81.09,"(40, 50]"
645.0,12.0,157.0,2214.0,2663.0,43.0,71.0,"(50, 60]"
